Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,current_time.secs,current_time.nsecs
1711657002.2546206,4,1711657002,247928380,,42.337088333333334,-71.08738,0.0,328039.9225325837,4689313.99171649,19,T,3.7,"$GPGGA,201642.000,4220.2253,N,07105.2428,W,1,05,3.7,16.2,M,-33.8,M,,0000*51
",1711675001,999999761
1711657003.2550163,5,1711657003,247841835,,42.337086666666664,-71.08737833333333,0.0,328040.0552967042,4689313.803275358,19,T,3.8,"$GPGGA,201643.000,4220.2252,N,07105.2427,W,1,04,3.8,16.2,M,-33.8,M,,0000*50
",1711675002,999999523
1711657004.2673292,6,1711657004,246653079,,42.337086666666664,-71.08737833333333,0.0,328040.0552967042,4689313.803275358,19,T,3.8,"$GPGGA,201644.000,4220.2252,N,07105.2427,W,1,04,3.8,16.1,M,-33.8,M,,0000*54
",1711675003,999999523
1711657005.2689347,7,1711657005,260493755,,42.337085,-71.08737666666667,0.0,328040.188060832,4689313.614834229,19,T,3.7,"$GPGGA,201645.000,4220.2251,N,07105.2426,W,1,05,3.7,16.1,M,-33.8,M,,0000*59
",1711675004,999999761
1711657006.2555423,8,1711657006,248119831,,45.67041666666667,-71.08737666666667,0.0,337413.4223308936,5059548.609304367,19,T,3.7,"$GPGGA,201646.000,4220.2250,N,07105.2426,W,1,05,3.7,16.1,M,-33.8,M,,0000*5B
",1711675005,999999761
1711657007.2686436,9,1711657007,260802745,,45.67041666666667,-71.08737666666667,0.0,337413.4223308936,5059548.609304367,19,T,3.7,"$GPGGA,201647.000,4220.2250,N,07105.2426,W,1,05,3.7,16.1,M,-33.8,M,,0000*5A
",1711675006,999999761
1711657008.2711356,10,1711657008,248325109,,42.33708166666667,-71.087375,0.0,328040.31628199253,4689313.241322495,19,T,3.7,"$GPGGA,201648.000,4220.2249,N,07105.2425,W,1,05,3.7,16.1,M,-33.8,M,,0000*5E
",1711675007,999999284
1711657009.2694054,11,1711657009,248558998,,42.33708166666667,-71.087375,0.0,328040.31628199253,4689313.241322495,19,T,3.7,"$GPGGA,201649.000,4220.2249,N,07105.2425,W,1,05,3.7,16.1,M,-33.8,M,,0000*5F
",1711675008,999999046
1711657010.2712016,12,1711657010,248064756,,45.6704,-71.087365,0.0,337414.2827667904,5059546.73396575,19,T,3.6,"$GPGGA,201650.000,4220.2240,N,07105.2419,W,1,05,3.6,15.7,M,-33.8,M,,0000*55
",1711675009,999999284
1711657011.2569427,13,1711657011,249081611,,42.33705166666667,-71.08736,0.0,328041.47027310473,4689309.879717,19,T,3.6,"$GPGGA,201651.000,4220.2231,N,07105.2416,W,1,05,3.6,15.4,M,-33.8,M,,0000*5E
",1711675010,999999761
1711657012.2523026,14,1711657012,244480609,,42.33703166666667,-71.08735666666666,0.0,328041.69037227996,4689307.652128717,19,T,3.6,"$GPGGA,201652.000,4220.2219,N,07105.2414,W,1,05,3.6,15.1,M,-33.8,M,,0000*50
",1711675012,0
1711657013.2751756,15,1711657013,248899221,,42.33701,-71.08735166666666,0.0,328042.0432360004,4689305.236099365,19,T,3.6,"$GPGGA,201653.000,4220.2206,N,07105.2411,W,1,05,3.6,14.8,M,-33.8,M,,0000*52
",1711675012,999999284
1711657014.2711344,16,1711657014,248214721,,42.33698833333333,-71.08734333333334,0.0,328042.6707146734,4689302.813329119,19,T,3.6,"$GPGGA,201654.000,4220.2193,N,07105.2406,W,1,05,3.6,14.5,M,-33.8,M,,0000*51
",1711675013,999999284
1711657015.272826,17,1711657015,265543937,,42.336965,-71.08732666666667,0.0,328043.98018783523,4689300.188636139,19,T,3.6,"$GPGGA,201655.000,4220.2179,N,07105.2396,W,1,05,3.6,14.3,M,-33.8,M,,0000*5C
",1711675014,999999761
1711657016.2556555,18,1711657016,247968196,,42.336938333333336,-71.08729333333333,0.0,328046.65365071374,4689297.160098297,19,T,3.6,"$GPGGA,201656.000,4220.2163,N,07105.2376,W,1,05,3.6,13.9,M,-33.8,M,,0000*57
",1711675015,999999761
1711657017.273961,19,1711657017,247838735,,42.33693,-71.08725833333334,0.0,328049.5143932305,4689296.16396788,19,T,3.6,"$GPGGA,201657.000,4220.2158,N,07105.2355,W,1,05,3.6,13.7,M,-33.8,M,,0000*51
",1711675016,999999284
1711657018.2549806,20,1711657018,247607469,,42.336915,-71.08720666666666,0.0,328053.73004079895,4689294.393853708,19,T,3.6,"$GPGGA,201658.000,4220.2149,N,07105.2324,W,1,05,3.6,13.2,M,-33.8,M,,0000*5D
",1711675017,999999761
1711657019.2725086,21,1711657019,248785734,,42.33692166666667,-189.4205,0.0,0.0,0.0,0,,3.6,"$GPGGA,201659.000,4220.2153,N,07105.2300,W,1,05,3.6,12.9,M,-33.8,M,,0000*5B
",1711675018,999999284
1711657020.2570472,22,1711657020,248764276,,45.67026666666667,-71.08712333333334,0.0,337432.7199321857,5059531.4300581915,19,T,3.6,"$GPGGA,201700.000,4220.2160,N,07105.2274,W,1,05,3.6,12.6,M,-33.8,M,,0000*5B
",1711675019,999999523
1711657021.2578135,23,1711657021,248732089,,42.33696833333333,-71.08708666666666,0.0,328063.76153421553,4689300.073462736,19,T,3.6,"$GPGGA,201701.000,4220.2181,N,07105.2252,W,1,05,3.6,12.4,M,-33.8,M,,0000*53
",1711675020,999999761
1711657022.2503548,24,1711657022,242976427,,45.67035,-71.087055,0.0,337438.2837495216,5059540.549541021,19,T,3.6,"$GPGGA,201702.000,4220.2210,N,07105.2233,W,1,05,3.6,12.4,M,-33.8,M,,0000*5C
",1711675021,999999523
1711657023.2556937,25,1711657023,248411655,,42.33706166666666,-71.08701833333333,0.0,328069.64549900277,4689310.299246963,19,T,3.6,"$GPGGA,201703.000,4220.2237,N,07105.2211,W,1,05,3.6,12.4,M,-33.8,M,,0000*58
",1711675022,999999523
1711657024.2768364,26,1711657024,251200437,,42.337111666666665,-71.08698166666667,0.0,328072.8025201404,4689315.777227193,19,T,3.6,"$GPGGA,201704.000,4220.2267,N,07105.2189,W,1,05,3.6,12.5,M,-33.8,M,,0000*59
",1711675023,999999284
1711657025.2563543,27,1711657025,248886108,,42.337163333333336,-71.08694166666666,0.0,328076.2386925346,4689321.4335397165,19,T,3.6,"$GPGGA,201705.000,4220.2298,N,07105.2165,W,1,05,3.6,12.7,M,-33.8,M,,0000*58
",1711675025,0
1711657026.2560923,28,1711657026,249044656,,42.33721833333333,-71.08690333333334,0.0,328079.54663675313,4689327.46336478,19,T,3.6,"$GPGGA,201706.000,4220.2331,N,07105.2142,W,1,05,3.6,12.9,M,-33.8,M,,0000*52
",1711675025,999999761
1711657027.2584865,29,1711657027,249643087,,42.337285,-71.08687166666667,0.0,328082.33714210097,4689334.802164353,19,T,3.6,"$GPGGA,201707.000,4220.2371,N,07105.2123,W,1,05,3.6,13.2,M,-33.8,M,,0000*5A
",1711675026,999999761
1711657028.2707906,30,1711657028,244520664,,42.33737333333333,-71.08685333333334,0.0,328084.08823417785,4689344.573840213,19,T,3.6,"$GPGGA,201708.000,4220.2424,N,07105.2112,W,1,05,3.6,13.9,M,-33.8,M,,0000*5B
",1711675027,999999284
1711657029.2657692,31,1711657029,248614311,,42.33745833333333,-71.08683166666667,0.0,328086.1048513537,4689353.968635993,19,T,3.6,"$GPGGA,201709.000,4220.2475,N,07105.2099,W,1,05,3.6,14.6,M,-33.8,M,,0000*54
",1711675028,999999284
1711657030.2556183,32,1711657030,246911048,,42.337558333333334,-71.08682166666667,0.0,328087.2011976365,4689365.052655191,19,T,3.7,"$GPGGA,201710.000,4220.2535,N,07105.2093,W,1,04,3.7,15.7,M,-33.8,M,,0000*53
",1711675029,999999761
1711657031.2540796,33,1711657031,246870756,,42.33766166666667,-71.08681333333334,0.0,328088.1693195775,4689376.510185494,19,T,3.7,"$GPGGA,201711.000,4220.2597,N,07105.2088,W,1,04,3.7,16.8,M,-33.8,M,,0000*5C
",1711675030,999999761
1711657032.25412,34,1711657032,246196269,,42.337736666666665,-71.08679166666667,0.0,328090.15867484617,4689384.794558725,19,T,3.7,"$GPGGA,201712.000,4220.2642,N,07105.2075,W,1,04,3.7,17.7,M,-33.8,M,,0000*58
",1711675031,999999761
1711657033.2536173,35,1711657033,246178388,,42.33777666666667,-71.086755,0.0,328093.2884004298,4689389.162123605,19,T,3.7,"$GPGGA,201713.000,4220.2666,N,07105.2053,W,1,04,3.7,18.1,M,-33.8,M,,0000*52
",1711675032,999999761
1711657034.2536418,36,1711657034,246305942,,42.33779833333333,-71.08672166666666,0.0,328096.09355344134,4689391.500651858,19,T,3.7,"$GPGGA,201714.000,4220.2679,N,07105.2033,W,1,04,3.7,18.4,M,-33.8,M,,0000*58
",1711675033,999999761
1711657035.259343,37,1711657035,242146492,,42.33781,-72.75336666666666,0.0,685077.9927980176,4689728.487177932,18,T,3.7,"$GPGGA,201715.000,4220.2686,N,07105.2020,W,1,04,3.7,18.6,M,-33.8,M,,0000*59
",1711675034,999999761
1711657036.250898,38,1711657036,242627859,,42.33781166666667,-72.75335,0.0,685079.3609768533,4689728.708530238,18,T,3.7,"$GPGGA,201716.000,4220.2687,N,07105.2010,W,1,04,3.7,18.7,M,-33.8,M,,0000*59
",1711675036,0
1711657037.2592204,39,1711657037,250921010,,42.33782166666667,-71.086685,0.0,328099.1778571323,4689394.017512994,19,T,3.7,"$GPGGA,201717.000,4220.2693,N,07105.2011,W,1,04,3.7,19.1,M,-33.8,M,,0000*5B
",1711675036,999999761
1711657038.2551227,40,1711657038,247513532,,42.33783,-71.08669,0.0,328098.78864837345,4689394.952974345,19,T,3.7,"$GPGGA,201718.000,4220.2698,N,07105.2014,W,1,04,3.7,19.5,M,-33.8,M,,0000*5E
",1711675037,999999761
1711657039.2574394,41,1711657039,248475551,,42.337846666666664,-71.08669666666667,0.0,328098.2848420873,4689396.81715827,19,T,3.7,"$GPGGA,201719.000,4220.2708,N,07105.2018,W,1,04,3.7,20.0,M,-33.8,M,,0000*54
",1711675038,999999761
1711657040.256268,42,1711657040,248387575,,42.33786166666667,-71.086695,0.0,328098.4630216024,4689398.479424468,19,T,3.7,"$GPGGA,201720.000,4220.2717,N,07105.2017,W,1,04,3.7,20.4,M,-33.8,M,,0000*5B
",1711675039,999999761
1711657041.2700226,43,1711657041,247086524,,42.337873333333334,-71.08667666666666,0.0,328100.0051718388,4689399.73785535,19,T,3.7,"$GPGGA,201721.000,4220.2724,N,07105.2006,W,1,04,3.7,20.6,M,-33.8,M,,0000*58
",1711675040,999999046
1711657042.2506652,44,1711657042,242453575,,45.671216666666666,-71.08664333333333,0.0,337472.8578677382,5059635.999379844,19,T,3.7,"$GPGGA,201722.000,4220.2730,N,07105.1986,W,1,04,3.7,20.7,M,-33.8,M,,0000*5D
",1711675041,999999761
1711657043.2717054,45,1711657043,263447523,,42.337891666666664,-71.08659333333334,0.0,328106.9203960856,4689401.605165898,19,T,3.7,"$GPGGA,201723.000,4220.2735,N,07105.1956,W,1,04,3.7,20.7,M,-33.8,M,,0000*54
",1711675042,999999761
1711657044.2559426,46,1711657044,246758699,,45.67123333333333,-71.08653666666666,0.0,337481.2142335881,5059637.634494024,19,T,3.7,"$GPGGA,201724.000,4220.2740,N,07105.1922,W,1,04,3.7,20.5,M,-33.8,M,,0000*50
",1711675043,999999761
1711657045.2704,47,1711657045,262738943,,42.337905,-71.08647666666667,0.0,328116.56809921074,4689402.849889337,19,T,3.7,"$GPGGA,201725.000,4220.2743,N,07105.1886,W,1,04,3.7,20.4,M,-33.8,M,,0000*5C
",1711675044,999999761
1711657046.25024,48,1711657046,241823196,,45.67125,-71.08643166666667,0.0,337489.4407804147,5059639.273002358,19,T,3.7,"$GPGGA,201726.000,4220.2750,N,07105.1859,W,1,04,3.7,20.3,M,-33.8,M,,0000*58
",1711675045,999999761
1711657047.255186,49,1711657047,246770381,,42.33792166666667,-71.08639166666667,0.0,328123.616079535,4689404.528776459,19,T,3.7,"$GPGGA,201727.000,4220.2753,N,07105.1835,W,1,04,3.7,20.1,M,-33.8,M,,0000*52
",1711675046,999999761
1711657048.249043,50,1711657048,241277456,,42.33792833333333,-71.08636166666666,0.0,328126.1057379817,4689405.208418582,19,T,3.7,"$GPGGA,201728.000,4220.2757,N,07105.1817,W,1,04,3.7,20.1,M,-33.8,M,,0000*59
",1711675047,999999761
1711657049.2532742,51,1711657049,245869636,,42.33793166666667,-71.08633666666667,0.0,328128.17439856404,4689405.528026854,19,T,3.7,"$GPGGA,201729.000,4220.2759,N,07105.1802,W,1,04,3.7,20.0,M,-33.8,M,,0000*53
",1711675048,999999523
1711657050.269776,52,1711657050,262469530,,42.33794,-71.08630833333333,0.0,328130.53129161627,4689406.396109995,19,T,3.7,"$GPGGA,201730.000,4220.2764,N,07105.1785,W,1,04,3.7,19.9,M,-33.8,M,,0000*56
",1711675049,999999761
1711657051.2718768,53,1711657051,263209581,,42.33796,-71.08627666666666,0.0,328133.1945791212,4689408.552950771,19,T,3.7,"$GPGGA,201731.000,4220.2776,N,07105.1766,W,1,04,3.7,19.9,M,-33.8,M,,0000*59
",1711675050,999999761
1711657052.255546,54,1711657052,246723651,,42.337981666666664,-71.086235,0.0,328136.6862364751,4689410.874651006,19,T,3.7,"$GPGGA,201732.000,4220.2789,N,07105.1741,W,1,04,3.7,19.8,M,-33.8,M,,0000*5E
",1711675051,999999761
1711657053.2520385,55,1711657053,241702079,,42.338013333333336,-71.086185,0.0,328140.8916597929,4689414.289933628,19,T,3.7,"$GPGGA,201733.000,4220.2808,N,07105.1711,W,1,04,3.7,19.9,M,-33.8,M,,0000*5D
",1711675052,999999761
1711657054.2496605,56,1711657054,241831541,,42.338051666666665,-71.08613,0.0,328145.5271554406,4689418.435395615,19,T,3.7,"$GPGGA,201734.000,4220.2831,N,07105.1678,W,1,04,3.7,20.0,M,-33.8,M,,0000*5D
",1711675053,999999284
1711657055.2714937,57,1711657055,262994289,,42.33808,-71.08606166666667,0.0,328151.23384371697,4689421.4434894845,19,T,3.7,"$GPGGA,201735.000,4220.2848,N,07105.1637,W,1,04,3.7,19.8,M,-33.8,M,,0000*5B
",1711675054,999999761
1711657056.2537675,58,1711657056,246215343,,42.33811333333333,-71.08599,0.0,328157.2287568456,4689425.000063165,19,T,3.7,"$GPGGA,201736.000,4220.2868,N,07105.1594,W,1,04,3.7,19.6,M,-33.8,M,,0000*5E
",1711675055,999999761
1711657057.2714307,59,1711657057,263440608,,42.33815333333333,-72.75258333333333,0.0,685141.5193337296,4689768.317552064,18,T,3.7,"$GPGGA,201737.000,4220.2892,N,07105.1550,W,1,04,3.7,19.5,M,-33.8,M,,0000*51
",1711675056,999999761
1711657058.2547421,60,1711657058,246750831,,42.33821,-71.08584833333333,0.0,328169.1629752171,4689435.447864736,19,T,3.7,"$GPGGA,201738.000,4220.2926,N,07105.1509,W,1,04,3.7,19.7,M,-33.8,M,,0000*5E
",1711675057,999999761
1711657059.2611432,61,1711657059,242892503,,42.338271666666664,-72.75245,0.0,685152.1564877927,4689781.748046403,18,T,3.7,"$GPGGA,201739.000,4220.2963,N,07105.1470,W,1,04,3.7,20.0,M,-33.8,M,,0000*5C
",1711675058,999999284
1711657060.2551754,62,1711657060,246442556,,112.33833333333334,-71.08572166666667,0.0,0.0,0.0,0,,3.7,"$GPGGA,201740.000,4220.3000,N,07105.1433,W,1,04,3.7,20.4,M,-33.8,M,,0000*5C
",1711675059,999999761
1711657061.2566729,63,1711657061,246168851,,42.338395,-71.08566333333333,0.0,328184.90765956533,4689455.616866307,19,T,3.7,"$GPGGA,201741.000,4220.3037,N,07105.1398,W,1,04,3.7,20.8,M,-33.8,M,,0000*53
",1711675060,999999523
1711657063.253633,64,1711657063,246510267,,42.33851166666667,-71.085545,0.0,328194.9739986076,4689468.3327060435,19,T,3.7,"$GPGGA,201743.000,4220.3107,N,07105.1327,W,1,04,3.7,21.5,M,-33.8,M,,0000*5B
",1711675062,999999523
1711657064.2562196,65,1711657064,246392726,,42.338555,-71.08546833333334,0.0,328201.40799481294,4689472.989636985,19,T,3.7,"$GPGGA,201744.048,4220.3133,N,07105.1281,W,1,04,3.7,21.6,M,-33.8,M,,0000*59
",1711675064,49999713
1711657065.2708614,66,1711657065,262411594,,42.33857,-71.085385,0.0,328208.31403846317,4689474.486903613,19,T,3.7,"$GPGGA,201745.000,4220.3142,N,07105.1231,W,1,04,3.7,21.1,M,-33.8,M,,0000*5E
",1711675064,999999761
1711657066.2530882,67,1711657066,245820760,,42.338591666666666,-71.08530166666667,0.0,328215.23823319166,4689476.724459485,19,T,3.7,"$GPGGA,201746.000,4220.3155,N,07105.1181,W,1,04,3.7,20.8,M,-33.8,M,,0000*5B
",1711675065,999999761
1711657067.2687,68,1711657067,246185541,,42.33862,-71.085225,0.0,328221.63136183587,4689479.715772794,19,T,3.7,"$GPGGA,201747.000,4220.3172,N,07105.1135,W,1,04,3.7,20.6,M,-33.8,M,,0000*5E
",1711675066,999999284
1711657068.2704108,69,1711657068,246112108,,42.33864833333333,-71.08515333333334,0.0,328227.6125737466,4689482.717192595,19,T,3.7,"$GPGGA,201748.000,4220.3189,N,07105.1092,W,1,04,3.7,20.3,M,-33.8,M,,0000*5C
",1711675067,999999046
1711657069.2706437,70,1711657069,246885538,,42.338663333333336,-72.75175,0.0,685208.6749604768,4689826.764694076,18,T,3.7,"$GPGGA,201749.000,4220.3198,N,07105.1050,W,1,04,3.7,19.8,M,-33.8,M,,0000*52
",1711675068,999999284
1711657070.254529,71,1711657070,245668172,,42.33865333333333,-71.08500666666667,0.0,328239.70891215955,4689482.976124185,19,T,3.7,"$GPGGA,201750.000,4220.3192,N,07105.1004,W,1,04,3.7,18.6,M,-33.8,M,,0000*5E
",1711675069,999999761
1711657071.2491674,72,1711657071,241864681,,42.338588333333334,-71.08490666666667,0.0,328247.7701611053,4689475.556372415,19,T,3.7,"$GPGGA,201751.000,4220.3153,N,07105.0944,W,1,04,3.7,16.2,M,-33.8,M,,0000*54
",1711675070,999999761
1711657072.2534797,73,1711657072,246016263,,42.338521666666665,-71.08482333333333,0.0,328254.4538500939,4689467.985223796,19,T,3.7,"$GPGGA,201752.000,4220.3113,N,07105.0894,W,1,04,3.7,14.1,M,-33.8,M,,0000*5E
",1711675071,999999761
1711657073.2493582,74,1711657073,240499496,,42.33842,-71.08473833333333,0.0,328261.1795735364,4689456.524232783,19,T,3.7,"$GPGGA,201753.000,4220.3052,N,07105.0843,W,1,04,3.7,11.1,M,-33.8,M,,0000*54
",1711675073,0
1711657074.2478733,75,1711657074,238367319,,42.338348333333336,-71.084685,0.0,328265.378206478,4689448.458477079,19,T,3.7,"$GPGGA,201754.000,4220.3009,N,07105.0811,W,1,04,3.7,9.2,M,-33.8,M,,0000*60
",1711675073,999999761
1711657075.2464607,76,1711657075,238885641,,42.338301666666666,-72.75131666666667,0.0,685245.4363971213,4689787.54800616,18,T,3.7,"$GPGGA,201755.000,4220.2981,N,07105.0790,W,1,04,3.7,8.4,M,-33.8,M,,0000*68
",1711675074,999999761
1711657076.2627113,77,1711657076,239182949,,42.338258333333336,-72.75128333333333,0.0,685248.3097743845,4689782.808747518,18,T,3.7,"$GPGGA,201756.000,4220.2955,N,07105.0770,W,1,04,3.7,7.7,M,-33.8,M,,0000*60
",1711675075,999999523
1711657077.2470357,78,1711657077,238594055,,42.338215,-71.08457833333334,0.0,328273.8027249987,4689433.437398022,19,T,3.7,"$GPGGA,201757.000,4220.2929,N,07105.0747,W,1,04,3.7,7.1,M,-33.8,M,,0000*68
",1711675076,999999761
1711657078.2453744,79,1711657078,238520383,,42.338168333333336,-71.084535,0.0,328277.2456124973,4689428.16790569,19,T,3.7,"$GPGGA,201758.000,4220.2901,N,07105.0721,W,1,04,3.7,6.6,M,-33.8,M,,0000*6B
",1711675077,999999761
1711657079.2552977,80,1711657079,239664077,,42.338121666666666,-71.08448833333334,0.0,328280.96311505185,4689422.891683518,19,T,3.7,"$GPGGA,201759.000,4220.2873,N,07105.0693,W,1,04,3.7,6.6,M,-33.8,M,,0000*66
",1711675078,999999761
1711657080.247005,81,1711657080,239652633,,42.338073333333334,-71.08444166666666,0.0,328284.6760867307,4689417.430392917,19,T,3.7,"$GPGGA,201800.000,4220.2844,N,07105.0665,W,1,04,3.7,7.3,M,-33.8,M,,0000*6C
",1711675079,999999761
1711657081.2469475,82,1711657081,239562988,,42.338035,-72.75106666666667,0.0,685266.815488406,4689758.481130192,18,T,3.7,"$GPGGA,201801.000,4220.2821,N,07105.0640,W,1,04,3.7,8.5,M,-33.8,M,,0000*60
",1711675080,999999761
1711657082.252276,83,1711657082,244385242,,42.33799666666667,-71.08435666666666,0.0,328291.46996014507,4689408.745493685,19,T,3.7,"$GPGGA,201802.000,4220.2798,N,07105.0614,W,1,04,3.7,8.2,M,-33.8,M,,0000*68
",1711675081,999999761
1711657083.263085,84,1711657083,246148586,,42.337965,-71.08431833333333,0.0,328294.54178596067,4689405.15174312,19,T,3.7,"$GPGGA,201803.000,4220.2779,N,07105.0591,W,1,04,3.7,6.8,M,-33.8,M,,0000*6C
",1711675082,999999761
1711657084.2480538,85,1711657084,240667343,,42.33792,-71.08427666666667,0.0,328297.85193506547,4689400.070698177,19,T,3.7,"$GPGGA,201804.000,4220.2752,N,07105.0566,W,1,04,3.7,6.3,M,-33.8,M,,0000*61
",1711675083,999999761
1711657085.2550864,86,1711657085,247848749,,42.33786833333333,-71.08422833333333,0.0,328301.693165877,4689394.235910819,19,T,3.7,"$GPGGA,201805.000,4220.2721,N,07105.0537,W,1,04,3.7,6.1,M,-33.8,M,,0000*62
",1711675084,999999761
